Outline Level;ID;Name;Start;Finish;Duration;Predecessors;Resource Names;
1;1;Planning and Requirements;18/07/2026;24/07/2026;7 day;;;
2;2;Project Kickoff and Scenario Review;18/07/2026;19/07/2026;2 day;;All Members;
2;3;Define Scope, Objectives, and Stakeholders;20/07/2026;20/07/2026;1 day;2FS;Lana;
2;4;Identify and Organize System Requirements;21/07/2026;22/07/2026;2 day;3FS;Sondos;
2;5;Distribute Roles and Organize Project Files;23/07/2026;23/07/2026;1 day;4FS;"Lana; Khawla";
2;6;Prepare Initial Project Schedule;24/07/2026;24/07/2026;1 day;5FS;Lana;
1;7;Phase 1 Progress Report;24/07/2026;26/07/2026;3 day;;;
2;8;Draft the Mid-Project Progress Report;24/07/2026;26/07/2026;3 day;5FS;"Khawla; Lana; All Members";
1;11;Analysis and Design Deliverables;27/07/2026;05/08/2026;10 day;;;
2;12;Evolutionary Prototyping and Three Low-Fidelity Screens;27/07/2026;29/07/2026;3 day;8FS;Shmoukh;
2;13;Context Diagram and Level-0 DFD;27/07/2026;29/07/2026;3 day;8FS;Wajd;
2;14;Three Level-1 DFDs;30/07/2026;31/07/2026;2 day;13FS;Wajd;
2;15;Use Case Model and Three Documented Use Cases;01/08/2026;02/08/2026;2 day;14FS;Sondos;
2;16;Two UML Activity Diagrams;03/08/2026;04/08/2026;2 day;15FS;Shmoukh;
2;17;UML Class Diagram;03/08/2026;03/08/2026;1 day;15FS;Khawla;
2;18;Relational Database Design and 3NF;04/08/2026;05/08/2026;2 day;17FS;Khawla;
1;19;Final Review and Submission;06/08/2026;09/08/2026;4 day;;;
2;20;Integrate All Report Sections and Diagrams;06/08/2026;06/08/2026;1 day;12FS,14FS,15FS,16FS,18FS;"Lana; All Members";
2;21;Final Consistency Review, Reflections, and Formatting;07/08/2026;07/08/2026;1 day;20FS;All Members;
2;22;Final Project Submission — 09/08/2026 at 23:59;09/08/2026;09/08/2026;0 day;21FS;Lana;
