Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"Planning and Requirements",2026-07-18,2026-07-24,7 day,86,"","",121,"<p>Initial study, scope definition, requirements identification, task distribution, and project organization.</p>"
2,2,"Project Kickoff and Scenario Review",2026-07-18,2026-07-19,2 day,100,"","All Members",301,"<p>Read the SAMS scenario and identify the main problem and project purpose.</p>"
2,3,"Define Scope, Objectives, and Stakeholders",2026-07-20,2026-07-20,1 day,100,"2FS","Lana",301,"<p>Define the system scope, main objectives, and primary users.</p>"
2,4,"Identify and Organize System Requirements",2026-07-21,2026-07-22,2 day,100,"3FS","Sondos",301,"<p>Identify student, organizer, Student Affairs, and automatic system requirements.</p>"
2,5,"Distribute Roles and Organize Project Files",2026-07-23,2026-07-23,1 day,80,"4FS","Lana; Khawla",301,"<p>Assign responsibilities and agree on file names, folders, and review process.</p>"
2,6,"Prepare Initial Project Schedule",2026-07-24,2026-07-24,1 day,25,"5FS","Lana",301,"<p>Prepare the first Gantt chart with activities, durations, and dependencies.</p>"
1,7,"Phase 1 Progress Report",2026-07-24,2026-07-26,3 day,40,"","",121,"<p>Prepare, review, and submit the mid-project progress report by 26 July 2026 at 23:59.</p>"
2,8,"Draft the Mid-Project Progress Report",2026-07-24,2026-07-26,3 day,40,"5FS","Khawla; Lana; All Members",301,"<p>Write completed work, key decision, problems, next plan, member participation, review, and submission.</p>"
1,11,"Analysis and Design Deliverables",2026-07-27,2026-08-05,10 day,0,"","",121,"<p>Complete the analysis and design tasks from prototyping through database design.</p>"
2,12,"Evolutionary Prototyping and Three Low-Fidelity Screens",2026-07-27,2026-07-29,3 day,0,"8FS","Shmoukh",301,"<p>Justify evolutionary prototyping and prepare three low-fidelity screens.</p>"
2,13,"Context Diagram and Level-0 DFD",2026-07-27,2026-07-29,3 day,0,"8FS","Wajd",301,"<p>Develop the context diagram and Level-0 DFD.</p>"
2,14,"Three Level-1 DFDs",2026-07-30,2026-07-31,2 day,0,"13FS","Wajd",301,"<p>Develop three Level-1 DFDs for three major processes.</p>"
2,15,"Use Case Model and Three Documented Use Cases",2026-08-01,2026-08-02,2 day,0,"14FS","Sondos",301,"<p>Prepare the complete use case model and document three use cases.</p>"
2,16,"Two UML Activity Diagrams",2026-08-03,2026-08-04,2 day,0,"15FS","Shmoukh",301,"<p>Develop two UML activity diagrams.</p>"
2,17,"UML Class Diagram",2026-08-03,2026-08-03,1 day,0,"15FS","Khawla",301,"<p>Develop the UML class diagram with attributes, methods, and relationships.</p>"
2,18,"Relational Database Design and 3NF",2026-08-04,2026-08-05,2 day,0,"17FS","Khawla",301,"<p>Design the relational database and normalize it up to Third Normal Form.</p>"
1,19,"Final Review and Submission",2026-08-06,2026-08-07,2 day,0,"","",121,"<p>Integrate, review, format, and submit the final project by 9 August 2026 at 23:59.</p>"
2,20,"Integrate All Report Sections and Diagrams",2026-08-06,2026-08-06,1 day,0,"12FS,14FS,15FS,16FS,18FS","Lana; All Members",301,"<p>Combine all report sections and diagrams in the official template.</p>"
2,21,"Final Consistency Review, Reflections, and Formatting",2026-08-07,2026-08-07,1 day,0,"20FS","All Members",301,"<p>Review consistency, complete individual reflections, and prepare Word and PDF files.</p>"
2,22,"Final Project Submission — 09/08/2026 at 23:59",2026-08-07,2026-08-07,0 day,0,"21FS","Lana",301,"<p>Submit the final Word and PDF project files by 9 August 2026 at 23:59.</p>"
